surface_m2,rooms,floor,max_floor,price,neighborhood,year_built,elevator,construction_material,latitude,longitude,metro_proximity,stb_proximity
50.35,2,4,7,107164,48,2025,1,0,44.368534,26.12119,1.667858299,0.181639958
64.0,2,3,8,272000,25,1990,1,-1,44.423615,26.12943,0.824747497,0.290672974
63.0,2,4,7,125000,66,1989,0,-1,44.41818,26.065672,1.127858689,0.245868543
53.0,1,2,2,150000,20,1940,0,0,44.435966,26.096062,0.53303542,0.207744732
90.0,3,3,8,339900,25,1990,1,-1,44.428036,26.132645,0.675465768,0.03592258
58.0,4,4,4,115000,10,1974,0,0,44.38069,26.10261,2.071082755,0.30101524
63.08,3,10,10,145000,78,1976,1,-1,44.413605,26.108984,0.365924118,0.244529956
59.0,2,0,1,270000,16,2022,1,0,44.429108,26.1146,1.086423453,0.325899944
47.0,2,6,9,114000,20,1960,0,2,44.4381,26.100779,0.29489282,0.137088958
41.0,1,10,11,72000,52,1976,1,0,44.433964,26.032343,0.123534282,0.096341269
49.0,2,4,4,125000,20,2019,1,-1,44.436142,26.102684,0.031835697,0.078661407
55.98,2,6,11,107000,48,2025,1,0,44.368534,26.12119,1.667858299,0.181639958
87.02,3,5,7,155000,17,1932,1,-1,44.431477,26.107094,0.59624384,0.141737808
60.0,3,0,9,125000,52,1967,0,0,44.436466,26.033787,0.21652234,0.065397813
52.24,2,3,12,106450,48,2025,1,0,44.36698,26.125013,1.498464312,0.152081128
50.0,2,2,4,99690,30,1962,0,1,44.42709,26.053364,0.304716913,0.184313386
60.0,3,2,10,129990,74,1969,1,-1,44.453102,26.125507,0.369493285,0.25677829
53.0,1,9,9,128000,88,2001,0,-1,44.418274,26.127787,0.691507467,0.094073864
63.08,2,1,4,100927,76,2026,1,2,44.414295,26.201166,0.919723761,0.828194521
38.61,1,1,4,61775,76,2026,1,2,44.414295,26.201166,0.919723761,0.828194521
67.7,2,5,7,81570,48,2025,1,0,44.36867,26.114674,2.044620972,0.07007092
84.0,3,3,5,134000,10,2025,1,2,44.38676,26.116875,0.81163672,0.154755246
56.5,2,5,7,76446,48,2025,1,1,44.36867,26.114674,2.044620972,0.07007092
59.0,2,1,5,85100,3,2026,1,0,44.372894,26.129774,0.867324936,0.100600428
56.0,2,2,4,95400,81,2023,1,0,44.403774,26.17661,0.724137557,0.689107635
48.0,1,0,5,61200,3,2026,1,0,44.370945,26.128311,1.113067649,0.057321677
48.0,1,0,5,61200,3,2026,0,0,44.373066,26.129911,0.845321746,0.078682042
53.35,2,0,6,106300,48,2025,1,0,44.368534,26.12119,1.667858299,0.181639958
53.5,2,2,6,106200,63,2025,1,0,44.362534,26.149393,0.843315396,0.150933644
58.0,2,0,7,144900,84,1997,0,-1,44.4038,26.119326,0.989759798,0.14660287
67.0,3,0,4,160000,52,1980,0,1,44.43436,26.03418,0.04278041,0.034308317
50.4,2,0,6,105600,48,2025,1,0,44.368534,26.12119,1.667858299,0.181639958
154.0,2,0,6,117700,48,2025,1,2,44.37648,26.127348,0.725371576,0.307636125
20.0,1,9,10,38500,10,1974,0,1,44.398773,26.10722,0.14816017,0.077643893
64.0,2,2,10,81000,52,2026,1,2,44.44069,25.973196,1.760656379,0.609237757
200.0,6,3,4,650000,35,2006,1,0,44.456905,26.097593,0.792408592,0.15802775
38.0,1,1,6,105500,3,2025,1,0,44.378418,26.13346,0.200123761,0.195870888
119.0,4,4,5,479000,5,2006,1,-1,44.48598,26.096107,0.826884895,0.146792704
85.31,4,0,8,152990,23,1984,1,0,44.458042,26.048128,0.690494486,0.281081908
150.0,5,0,7,280000,28,2018,0,1,44.464695,26.08813,0.20847745,0.094731697
51.0,2,3,4,114000,79,1970,0,-1,44.43114,26.169392,0.488207742,0.227220314
50.0,2,4,7,133000,30,2018,0,-1,44.41993,26.028849,0.427031038,0.268492656
59.0,2,4,6,114400,63,2026,1,-1,44.36267,26.1514,0.927685648,0.253802695
57.0,2,9,12,167000,52,2016,0,-1,44.43307,26.03086,0.276562369,0.122056652
55.0,2,2,3,94990,37,2011,0,-1,44.46045,26.156141,2.797810509,0.264980285
65.5,3,3,3,105000,65,2024,1,0,44.371998,26.103,2.707760774,0.179847103
30.0,1,5,5,42900,88,2016,0,0,44.409706,26.142344,1.221680004,0.225649581
63.08,3,10,10,145000,78,1976,0,0,44.41369,26.108532,0.329011082,0.242694262
35.3,1,6,6,60000,48,2025,1,0,44.368534,26.12119,1.667858299,0.181639958
53.0,2,6,11,170000,44,2019,1,0,44.447155,26.06236,0.512957063,0.015261146
50.0,2,5,10,89000,21,1979,1,0,44.46345,26.136585,1.799681507,0.179688121
68.0,3,6,10,122800,79,1969,1,-1,44.416718,26.151243,0.879439394,0.123452762
38.0,2,1,7,49500,67,2012,1,1,44.44362,25.98745,1.484519361,0.507640635
61.3,3,0,6,105000,48,2025,1,0,44.36773,26.114256,2.134405783,0.040312509
53.46,2,1,9,104700,48,2025,1,0,44.3666,26.124887,1.514998301,0.118313969
32.3,1,1,6,58000,48,2024,1,0,44.36773,26.114256,2.134405783,0.040312509
30.0,1,0,10,56000,69,1973,1,0,44.41092,26.166857,0.522999556,0.151903649
31.0,1,2,10,67499,79,1968,0,-1,44.420303,26.168783,0.713612214,0.343180604
50.12,2,6,11,104500,48,2025,1,0,44.368534,26.12119,1.667858299,0.181639958
36.0,2,4,7,52000,66,1997,0,-1,44.39928,26.05618,2.908099566,0.057685402
77.0,3,3,4,129930,48,2025,1,0,44.36773,26.114256,2.134405783,0.040312509
45.59,2,3,11,104400,48,2025,1,0,44.368217,26.124458,1.528966142,0.177903958
75.0,3,1,5,198000,8,2019,1,-1,44.53314,26.09934,5.991770143,0.659279166
16.0,1,4,4,29999,42,1970,0,0,44.392822,26.1041,0.767246331,0.46569292
