url,surface_m2,rooms,floor,price,city,year_built,elevator,construction_material,number_bathrooms,latitude,longitude,metro_proximity,stb_proximity
https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-3-theodor-pallady-2-camere-275284993,"47,8 mp",2,6 / 11,95.000 €,"Theodor Pallady, București",2025,da,beton,1,44.429244,26.193409,0.8302155622879466,0.2856064130829594
https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-pipera-4-camere-272436927,123 mp,4,1 / 3,319.000 €,"Pipera, București",2025,da,beton,3,44.51485408,26.15357123,4.798155352969778,3.4545670349826825
https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-pipera-3-camere-260362617,75 mp,3,3 / 8,190.000 €,"Pipera, București",2023,da,N/A,2,44.4888258,26.1354876,1.7487987814231318,0.9897023539757577
https://www.imobiliare.ro/oferta/garsoniera-de-vanzare-sector-1-nord-42-mp-256435750,42 mp,1,4 / 10,96.000 €,"Nord, București",2024,da,beton,1,44.5361452,26.0923803,6.367128187161007,0.23914928032440402
https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-6-militari-2-camere-275431608,42 mp,2,2 / 10,63.000 €,"Militari, București",2026,da,beton,1,44.44446571,25.97114956,2.167512957710632,0.8857040817240006
https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-floreasca-mobilat-3-camere-275418753,79 mp,3,2,450.000 €,"Floreasca, București",2023,da,beton,2,44.469349,26.110425,1.3530510474777921,0.05790632110341106
https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-6-uverturii-2-camere-275429584,54 mp,2,2 / 10,81.000 €,"Uverturii, București",2026,da,beton,1,44.44074618,25.97949028,1.4235800278632718,0.4556827897947085
https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-6-militari-2-camere-275114994,54 mp,2,2 / 10,81.000 €,"Militari, București",2026,da,beton,1,44.44446571,25.97114956,2.167512957710632,0.8857040817240006
https://www.imobiliare.ro/oferta/garsoniera-de-vanzare-sector-6-militari-27-mp-1082626,29 mp,1,7 / 7,41.100 €,"Militari, București",2025,da,beton,1,44.4469341,25.992514,1.665349942804307,0.23685889212139585
https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-6-militari-2-camere-1082638,48 mp,2,7 / 7,61.600 €,"Militari, București",2023,nu,beton,1,44.4481268,25.9899961,1.8840852249698927,0.43504557988108644
